Concurso;Data Sorteio;1ª Dezena;2ª Dezena;3ª Dezena;4ª Dezena;5ª Dezena;6ª Dezena;Ganhadores_Sena;Rateio_Sena;Ganhadores_Quina;Rateio_Quina;Ganhadores_Quadra;Rateio_Quadra;Valor_Acumulado;Estimativa_Prêmio;Acumulado_Mega_da_Virada
75;10/08/1997;21;24;35;36;37;49;0;0,00;70;12395,02;5032;172,09;1917550,02;0,00;0,00
76;17/08/1997;8;17;18;23;33;53;0;0,00;92;10247,61;6399;147,04;3048886,14;0,00;0,00
77;24/08/1997;21;29;40;49;54;57;0;0,00;20;49648,81;2635;376,09;4240457,60;0,00;0,00
78;31/08/1997;12;22;25;31;32;46;0;0,00;103;9907,36;5984;170,19;5465006,39;0,00;0,00
79;07/09/1997;2;13;17;25;31;43;1;6770601,75;247;4404,85;13375;81,18;0,00;0,00;0,00
80;14/09/1997;23;28;37;40;48;51;0;0,00;43;26443,00;4284;264,89;10953707,53;0,00;0,00
81;21/09/1997;10;23;41;47;54;60;0;0,00;62;19453,15;4870;247,17;12401021,68;0,00;0,00
82;28/09/1997;15;18;29;36;51;53;1;13877826,02;77;15982,73;5889;208,57;0,00;0,00;0,00
83;05/10/1997;4;15;16;24;42;57;0;0,00;76;9408,43;4756;150,04;858048,93;0,00;0,00
84;12/10/1997;4;6;10;25;34;40;0;0,00;102;7539,68;5546;138,40;1780905,80;0,00;0,00
85;19/10/1997;6;15;30;37;45;47;0;0,00;45;17279,25;4312;179,96;2713984,86;0,00;0,00
86;26/10/1997;6;21;22;34;36;54;0;0,00;48;16752,96;3752;213,90;3678955,17;0,00;0,00
87;02/11/1997;4;5;11;28;32;40;0;0,00;64;12696,60;5195;156,11;4654053,86;0,00;0,00
88;09/11/1997;4;18;29;37;43;45;0;0,00;110;7965,82;6805;128,51;5705540,99;0,00;0,00
89;16/11/1997;13;34;42;44;55;59;0;0,00;36;24246,00;3847;226,45;6752968,26;0,00;0,00
90;23/11/1997;9;21;26;40;52;54;1;15764300,87;74;18584,49;4763;288,17;0,00;0,00;0,00
91;30/11/1997;2;4;10;35;39;60;0;0,00;68;9588,80;3878;167,81;782445,93;0,00;0,00
92;07/12/1997;1;3;5;23;24;51;0;0,00;75;9792,64;5530;132,56;1663783,45;0,00;0,00
93;14/12/1997;2;22;28;31;36;53;0;0,00;61;12369,31;3795;198,44;2569217,31;0,00;0,00
94;21/12/1997;8;18;28;51;52;55;0;0,00;25;31457,49;2086;376,26;3512942,16;0,00;0,00
95;28/12/1997;6;40;45;46;50;60;0;0,00;22;30807,89;2185;309,58;4326270,55;0,00;0,00
96;04/01/1998;4;7;26;40;42;58;1;5218562,47;62;11993,17;3984;186,27;0,00;0,00;0,00
97;11/01/1998;5;11;14;35;53;56;1;727932,66;56;10832,33;3441;175,94;0,00;0,00;0,00
98;18/01/1998;13;14;31;33;35;43;0;0,00;89;6508,88;4972;116,28;695149,05;0,00;0,00
99;25/01/1998;11;24;30;33;46;60;0;0,00;46;14037,92;3015;213,76;1470041,96;0,00;0,00
100;01/02/1998;14;29;30;46;48;51;0;0,00;56;15930,48;3600;247,32;8585129,47;0,00;0,00
101;08/02/1998;1;18;29;31;37;39;0;0,00;52;20589,41;4653;229,64;9869908,65;0,00;0,00
102;15/02/1998;19;20;37;42;44;56;1;11336626,88;73;16743,36;6197;196,85;0,00;0,00;0,00
103;22/02/1998;1;7;9;49;54;57;1;696984,24;28;20743,58;2632;220,24;0,00;0,00;0,00
104;01/03/1998;1;4;13;21;38;52;0;0,00;37;14006,33;2588;199,85;621880,72;0,00;0,00
105;08/03/1998;3;13;31;43;46;49;0;0,00;55;11824,08;4875;133,14;1402269,88;0,00;0,00
106;15/03/1998;5;16;24;35;38;39;0;0,00;94;7678,27;5390;133,65;2268378,66;3000000,00;0,00
107;22/03/1998;2;4;16;24;51;52;0;0,00;35;21494,23;3554;211,26;3171136,01;0,00;0,00
108;29/03/1998;21;24;29;34;59;60;0;0,00;35;22511,72;2453;320,57;4116628,49;0,00;0,00
109;04/04/1998;1;13;44;48;49;54;0;0,00;39;21153,30;3881;212,15;11523677,38;0,00;0,00
110;11/04/1998;18;31;43;52;57;58;0;0,00;35;27771,48;3212;302,01;12690079,16;0,00;0,00
111;18/04/1998;4;22;25;32;33;52;0;0,00;68;18082,94;6109;200,88;14165647,19;0,00;0,00
112;25/04/1998;12;20;34;37;42;43;1;15802579,93;137;9957,01;8340;163,25;0,00;0,00;0,00
113;02/05/1998;7;26;28;34;54;55;0;0,00;38;14269,55;2572;210,40;650691,40;0,00;0,00
114;09/05/1998;6;12;18;37;47;54;0;0,00;71;9626,08;4908;138,99;1470833,69;0,00;0,00
115;16/05/1998;4;6;14;20;24;38;0;0,00;78;9283,10;5091;141,95;2339731,79;0,00;0,00
116;23/05/1998;5;13;32;36;42;51;0;0,00;64;11956,28;5270;144,91;3257973,62;4200000,00;0,00
117;30/05/1998;20;25;27;33;42;53;0;0,00;36;22046,87;3822;207,26;4210398,41;0,00;0,00
118;06/06/1998;9;22;25;37;56;57;0;0,00;53;16052,88;4342;195,56;5231361,36;0,00;0,00
119;13/06/1998;1;21;36;38;47;50;0;0,00;21;38921,16;2691;303,13;13206225,91;0,00;0,00
120;20/06/1998;3;16;27;40;45;46;0;0,00;92;13020,97;7073;169,04;14643740,70;0,00;0,00
121;27/06/1998;2;29;41;44;53;55;0;0,00;45;28917,00;4554;285,17;16205258,33;0,00;0,00
122;04/07/1998;11;17;20;39;43;53;0;0,00;83;18210,45;7203;209,43;18019018,95;0,00;0,00
123;11/07/1998;13;14;16;26;32;42;0;0,00;176;12440,56;13159;166,06;20646465,28;0,00;0,00
124;18/07/1998;5;15;34;41;52;57;1;24536288,72;188;17242,12;14019;230,76;0,00;0,00;0,00
125;25/07/1998;25;41;47;53;56;59;0;0,00;46;15425,68;2784;254,38;851497,47;0,00;0,00
126;01/08/1998;6;10;11;28;32;40;0;0,00;83;10052,56;5510;151,13;1852731,83;0,00;0,00
127;08/08/1998;21;29;50;51;54;59;0;0,00;40;23638,47;2613;361,14;2987378,17;0,00;0,00
128;15/08/1998;3;9;18;21;23;43;0;0,00;973;1024,41;11715;84,91;4183483,50;0,00;0,00
129;22/08/1998;1;9;10;32;46;54;0;0,00;67;15634,41;5320;196,51;5440490,00;0,00;0,00
130;29/08/1998;13;29;38;42;49;53;0;0,00;155;11796,24;11403;160,03;18814958,31;0,00;0,00
131;05/09/1998;4;9;17;27;30;44;0;0,00;361;6811,67;21683;113,19;21765774,49;0,00;0,00
132;12/09/1998;7;9;35;41;44;50;0;0,00;143;20846,64;12179;244,29;25343057,89;0,00;0,00
133;19/09/1998;5;6;19;34;39;57;1;30533241,12;431;10035,16;29264;147,51;0,00;0,00;0,00
134;26/09/1998;4;25;32;36;52;60;0;0,00;82;10253,38;4575;183,42;1008932,39;0,00;0,00
135;03/10/1998;21;22;35;40;53;59;0;0,00;40;24573,18;3604;272,19;2188444,72;0,00;0,00
136;10/10/1998;1;17;25;38;45;59;0;0,00;126;8435,36;7403;143,29;3463871,17;0,00;0,00
137;17/10/1998;15;16;19;22;26;49;0;0,00;88;12675,49;6701;166,13;4802402,93;0,00;0,00
138;24/10/1998;5;14;27;37;40;41;0;0,00;86;14074,36;6953;173,74;6254876,80;0,00;0,00
139;31/10/1998;3;13;26;27;41;42;2;3902486,14;179;7216,46;9401;137,14;0,00;0,00;0,00
140;07/11/1998;7;31;41;44;46;55;0;0,00;45;36581,33;4945;332,24;16453628,31;0,00;0,00
141;14/11/1998;10;13;22;41;42;58;0;0,00;119;20106,10;10533;226,70;19324778,90;0,00;0,00
142;21/11/1998;8;15;19;20;54;59;0;0,00;162;18143,56;13991;209,66;22851887,24;0,00;0,00
143;28/11/1998;6;18;20;40;50;53;0;0,00;144;24792,99;10994;324,10;27136115,88;0,00;0,00
144;05/12/1998;8;32;36;44;45;55;1;33597755,21;257;20952,14;23952;224,38;0,00;0,00;0,00
145;12/12/1998;15;16;31;41;43;51;0;0,00;71;15061,27;3389;314,91;1283220,59;0,00;0,00
146;19/12/1998;25;32;34;42;51;60;0;0,00;51;23923,45;4079;298,52;2747335,81;0,00;0,00
147;24/12/1998;6;16;23;24;28;38;1;3805750,38;75;11760,17;5418;162,48;0,00;0,00;0,00
148;31/12/1998;32;35;41;55;58;59;0;0,00;15;53660,04;2322;345,95;965880,61;0,00;0,00
149;09/01/1999;7;11;20;28;45;48;0;0,00;106;9795,13;6290;164,74;2211820,94;0,00;0,00
150;16/01/1999;12;44;50;52;54;55;0;0,00;56;36378,71;5540;367,00;21414530,14;0,00;0,00
151;23/01/1999;3;16;20;43;52;56;1;24091811,02;152;14678,07;9869;225,62;0,00;0,00;0,00
152;30/01/1999;5;12;15;29;51;58;0;0,00;75;11562,39;5041;172,03;1040614,80;0,00;0,00
153;06/02/1999;2;30;31;42;45;47;0;0,00;47;22846,45;4218;254,57;2329154,62;0,00;0,00
154;13/02/1999;8;10;24;33;45;48;0;0,00;144;7888,29;9252;122,78;3692251,60;0,00;0,00
155;20/02/1999;12;30;32;35;43;44;1;4988808,21;67;16126,32;4974;217,22;0,00;0,00;0,00
156;27/02/1999;17;23;42;49;52;55;0;0,00;74;11018,10;4455;183,02;978407,41;0,00;0,00
157;06/03/1999;4;13;17;21;41;44;1;2140030,92;134;7224,03;8894;108,84;0,00;0,00;0,00
158;13/03/1999;4;14;17;43;51;58;0;0,00;31;25856,53;3630;220,81;961863,12;0,00;0,00
159;20/03/1999;9;11;16;35;50;58;1;2038170,67;57;15735,49;4124;217,49;0,00;0,00;0,00
160;27/03/1999;2;13;42;52;54;58;0;0,00;74;19431,89;6132;234,50;11251511,63;0,00;0,00
161;03/04/1999;6;25;30;37;39;41;0;0,00;95;14430,61;6865;199,69;12896601,04;0,00;0,00
162;10/04/1999;21;23;33;38;48;51;0;0,00;92;20941,30;7244;265,96;15208520,83;0,00;0,00
163;17/04/1999;8;27;36;41;53;56;2;8975833,36;146;15657,23;10793;211,80;0,00;0,00;0,00
164;24/04/1999;4;10;14;19;28;44;0;0,00;111;7595,63;8386;100,54;1011737,90;0,00;0,00
165;01/05/1999;10;19;23;35;39;56;2;1044444,54;75;11968,35;5378;166,91;0,00;0,00;0,00
166;08/05/1999;12;13;22;57;59;60;0;0,00;47;17424,67;3371;242,95;982751,54;0,00;0,00
167;15/05/1999;1;11;28;33;38;48;1;2100980,21;82;11364,11;4997;186,48;0,00;0,00;0,00
168;22/05/1999;2;9;31;35;45;50;0;0,00;48;15743,70;3528;214,20;906836,93;0,00;0,00
169;29/05/1999;1;13;21;37;51;52;0;0,00;65;13679,08;4489;198,07;1973804,91;0,00;0,00
170;05/06/1999;7;41;46;51;55;58;0;0,00;50;32383,95;6257;258,78;13643095,71;0,00;0,00
171;12/06/1999;4;27;40;43;46;54;1;16052410,83;134;14983,30;10378;193,46;0,00;0,00;0,00
172;19/06/1999;10;14;26;35;36;49;0;0,00;64;13460,12;4592;186,89;1033736,70;0,00;0,00
173;26/06/1999;17;28;29;42;49;50;1;2148316,42;40;23220,41;3610;256,32;0,00;0,00;0,00
174;03/07/1999;11;22;23;36;52;59;0;0,00;44;17846,85;3217;243,18;942313,58;0,00;0,00
175;10/07/1999;1;10;13;20;42;50;0;0,00;114;8094,08;7058;130,25;2049582,99;0,00;0,00
176;17/07/1999;1;3;4;28;45;53;0;0,00;62;16696,39;5405;190,80;3291794,61;0,00;0,00
177;24/07/1999;22;35;38;39;41;59;0;0,00;52;21716,29;4408;255,21;4646890,81;0,00;0,00
178;31/07/1999;5;15;19;26;27;33;1;6129539,43;198;6240,11;13086;94,07;0,00;0,00;0,00
179;07/08/1999;5;6;23;26;27;53;0;0,00;78;10281,59;5646;141,51;962357,04;0,00;0,00
180;14/08/1999;6;23;29;39;51;60;0;0,00;111;15907,98;6978;252,09;12143009,93;0,00;0,00
181;21/08/1999;1;27;33;35;51;55;0;0,00;182;11127,07;11797;171,02;14573162,71;0,00;0,00
182;28/08/1999;3;5;10;28;46;60;0;0,00;239;9954,78;17413;136,13;17428194,22;0,00;0,00
183;04/09/1999;2;7;11;16;40;44;0;0,00;306;9468,79;20677;139,60;20905131,40;0,00;0,00
184;11/09/1999;9;16;21;34;41;60;0;0,00;217;14699,97;15462;205,53;24733003,15;0,00;0,00
185;18/09/1999;17;22;43;46;55;59;0;0,00;366;12275,86;24849;180,13;30124561,09;0,00;0,00
186;25/09/1999;14;23;24;25;26;51;0;0,00;352;17072,24;31164;192,10;37335874,86;0,00;0,00
187;02/10/1999;6;36;41;44;48;58;0;0,00;397;23058,35;39365;231,66;48320873,60;0,00;0,00
188;10/10/1999;17;27;34;42;43;46;1;64905517,65;1200;11517,11;90235;152,58;0,00;0,00;0,00
189;16/10/1999;4;15;31;38;41;53;0;0,00;61;23476,18;5485;260,09;1718456,25;0,00;0,00
190;24/10/1999;5;10;21;32;40;42;0;0,00;304;14923,96;21481;210,41;44895988,05;0,00;0,00
191;31/10/1999;1;3;5;23;41;58;1;50968412,58;383;13212,41;30477;165,41;0,00;0,00;0,00
192;06/11/1999;1;26;28;41;54;60;0;0,00;53;23005,08;4403;275,87;1463122,78;0,00;0,00
193;13/11/1999;4;11;12;19;43;49;0;0,00;190;7199,87;11415;119,39;3104692,58;0,00;0,00
194;20/11/1999;25;28;32;33;42;43;0;0,00;106;12862,40;7456;182,18;4740789,92;0,00;0,00
195;27/11/1999;3;9;17;32;37;44;1;6370250,64;339;4005,56;13819;97,89;0,00;0,00;0,00
196;04/12/1999;7;9;14;17;24;32;0;0,00;182;5309,16;10493;91,75;1159520,95;0,00;0,00
197;11/12/1999;5;12;15;19;29;52;0;0,00;128;8259,15;8720;120,78;2428125,98;0,00;0,00
198;18/12/1999;1;8;18;23;35;40;0;0,00;125;8881,02;7134;155,02;3760278,08;0,00;0,00
199;24/12/1999;10;16;37;50;52;57;1;4915593,20;34;28316,55;3143;305,16;0,00;0,00;0,00
200;31/12/1999;12;15;19;34;44;51;2;8829389,20;186;11008,48;13027;156,59;0,00;0,00;0,00
201;08/01/2000;5;20;22;30;35;55;1;1038373,94;77;11237,81;4502;191,48;0,00;0,00;0,00
202;15/01/2000;12;24;44;45;49;53;0;0,00;65;12412,65;4279;187,85;968186,82;0,00;0,00
203;22/01/2000;11;19;29;44;47;55;0;0,00;63;14099,33;5417;163,36;2034096,14;0,00;0,00
204;29/01/2000;29;31;39;41;51;58;0;0,00;32;30221,85;2400;401,43;3194615,19;0,00;0,00
205;05/02/2000;26;32;40;43;46;54;1;4490339,49;71;15208,03;6014;178,86;0,00;0,00;0,00
206;12/02/2000;18;20;26;34;51;56;0;0,00;43;17769,34;3478;218,86;916897,74;0,00;0,00
207;19/02/2000;3;7;19;24;53;55;0;0,00;90;9663,76;6510;133,10;1960583,04;0,00;0,00
208;26/02/2000;15;23;24;25;47;57;0;0,00;72;12679,18;5232;173,83;3056064,34;0,00;0,00
209;04/03/2000;13;21;26;32;41;52;0;0,00;81;12349,82;5496;181,32;4256466,94;0,00;0,00
210;11/03/2000;20;32;37;38;48;58;0;0,00;29;46721,17;3921;344,24;14043878,83;0,00;0,00
211;18/03/2000;10;20;33;40;45;50;0;0,00;164;10880,27;16680;106,58;16185115,03;0,00;0,00
212;25/03/2000;6;15;29;45;57;59;0;0,00;147;13318,79;9880;197,42;18534548,53;0,00;0,00
213;01/04/2000;3;9;23;30;32;35;3;7089194,54;312;7299,77;18348;123,66;0,00;0,00;0,00
214;08/04/2000;6;12;30;31;35;50;0;0,00;54;15578,04;3769;222,35;1009456,63;0,00;0,00
215;15/04/2000;7;28;37;46;53;58;0;0,00;78;12078,40;4942;189,92;2139994,41;0,00;0,00
216;22/04/2000;14;18;30;35;42;59;4;801057,55;91;9745,75;5049;175,00;0,00;0,00;0,00
217;29/04/2000;3;27;32;45;49;51;0;0,00;159;4599,62;5820;125,19;877607,32;0,00;0,00
218;06/05/2000;12;17;40;42;47;54;1;1878255,09;95;8777,61;4679;177,55;0,00;0,00;0,00
219;13/05/2000;23;26;28;36;42;49;0;0,00;80;9221,78;5139;143,02;885291,29;0,00;0,00
220;20/05/2000;13;14;36;53;55;60;1;12636751,12;125;12488,05;8067;192,78;0,00;0,00;0,00
221;27/05/2000;13;27;43;50;54;58;0;0,00;49;14565,66;3793;187,45;856460,89;0,00;0,00
222;03/06/2000;5;19;30;48;52;55;0;0,00;55;15243,16;4462;187,18;1862509,60;0,00;0,00
223;10/06/2000;2;6;22;24;28;58;0;0,00;163;5838,31;7780;121,86;3004483,21;0,00;0,00
224;17/06/2000;7;16;18;20;21;44;0;0,00;119;8706,35;7185;143,77;4247750,04;0,00;0,00
225;24/06/2000;2;4;16;21;37;58;0;0,00;83;12542,39;5517;188,14;5496971,76;0,00;0,00
226;01/07/2000;1;2;38;49;50;59;1;6916920,13;78;15170,39;4123;286,14;0,00;0,00;0,00
227;08/07/2000;11;26;27;37;42;48;0;0,00;51;14471,45;3648;201,72;885652,57;0,00;0,00
228;15/07/2000;13;16;40;43;45;59;0;0,00;64;13240,28;4497;187,87;1902506,15;0,00;0,00
229;22/07/2000;11;13;21;33;39;45;1;2992781,57;121;7508,79;7685;117,88;0,00;0,00;0,00
230;29/07/2000;8;40;41;44;53;56;0;0,00;94;15000,56;5820;241,56;9547336,00;0,00;0,00
231;05/08/2000;16;27;36;42;44;59;0;0,00;125;12896,11;9458;169,93;11481752,44;0,00;0,00
232;12/08/2000;19;22;29;37;41;59;0;0,00;124;14598,36;8807;204,93;13653988,77;0,00;0,00
233;19/08/2000;3;7;24;32;36;45;5;3196547,03;512;3790,28;21452;90,20;0,00;0,00;0,00
234;26/08/2000;15;25;41;42;45;54;0;0,00;39;19369,91;3505;214,89;906511,63;0,00;0,00
235;02/09/2000;2;22;29;31;41;55;0;0,00;52;16604,49;3086;278,96;1942631,63;0,00;0,00
236;09/09/2000;10;25;50;52;57;60;0;0,00;76;12197,95;4703;196,53;3055084,91;0,00;0,00
237;16/09/2000;7;31;36;45;56;57;0;0,00;54;19896,75;4145;258,44;4344394,18;0,00;0,00
238;23/09/2000;9;13;15;37;41;42;4;1429476,11;188;6088,25;10483;108,86;0,00;0,00;0,00
239;30/09/2000;6;21;33;44;46;47;1;866183,32;30;24060,65;3826;188,10;0,00;0,00;0,00
240;07/10/2000;25;28;38;41;57;59;0;0,00;103;15200,74;6244;250,00;11686511,34;0,00;0,00
241;14/10/2000;11;31;35;40;56;57;0;0,00;74;22811,94;5485;306,85;13712211,55;0,00;0,00
242;21/10/2000;4;7;21;22;28;56;0;0,00;203;9933,73;13497;148,97;16132069,11;0,00;0,00
243;28/10/2000;11;16;20;23;32;47;0;0,00;180;12019,97;13705;157,40;18728383,13;0,00;0,00
244;04/11/2000;19;24;33;47;50;60;0;0,00;204;13698,02;14735;189,08;22081659,67;0,00;0,00
245;11/11/2000;8;27;44;51;53;60;3;9153484,88;283;15838,62;21593;206,96;0,00;0,00;0,00
246;18/11/2000;2;16;32;37;43;57;0;0,00;93;9292,06;5429;158,71;1036993,80;0,00;0,00
247;25/11/2000;3;10;23;30;34;46;0;0,00;80;12080,19;6425;149,96;2196692,29;0,00;0,00
248;02/12/2000;16;32;34;35;41;56;0;0,00;50;21550,72;4862;220,96;3489735,08;0,00;0,00
249;09/12/2000;21;36;40;49;54;55;0;0,00;60;19680,20;4247;277,21;4906709,76;0,00;0,00
